restaurant,reviewer,review,rating,metadata,time,year,length,word_count,suspicious_len,suspicious_dup,possible_ai,restaurant_name,rating_value,category,keywords
Chinese Pavilion,George B.,we love chinese food and we headed for chinese pavilion to have dinner on a wednesday evening we reached there by 730 and we were the first customers by 830 onwards people started to fill the restaurant its not difficult to find the place since is on the main road ambiance is nice the typical chinese music that goes on is kind of relaxing decors have chinese items so its not bad service was spot on we were attended very it didnt take much time for the food to come out from the kitchen for food we had satay chicken sticks and spicy black bean lamb for starters teppan soba noodles sizzler for main course and cheesecake for desserts the satay chicken was so tender that immediately fell from the skewers and melted in the mouth really good the lamb was good but not wow the noodles tasted awesome it came sizzling buttery and full of flavour usually in india is hard to find a decent cheesecake but for our surprise this one was really good so really a good culinary experience the prices are a bit on the higher side but deserves a try definitely recommend food 55 ambiance 45 service 55 value 35,4,"173 Reviews , 345 Followers",2019-04-18 01:35:00,2019,1102,205,False,False,False,Chinese Pavilion,4,Chinese,"['chinese', 'cheesecake', 'lamb']"
AB's - Absolute Barbecues,Shruthi Reddy,excellent food and excellent service by mr krishna and ijujal i am full happy either the food and service thank you gays and thank abs i am coming again and again thank,5,"1 Review , 15 Followers",2019-05-25 14:23:00,2019,168,32,False,False,False,AB's - Absolute Barbecues,5,Steakhouse,"['thank', 'excellent', 'mr']"
The Indi Grill,Nina Dhar,had a great time at indi grillfood was very delicious and specially chili paneer awesome must try service was very good and subondo was great,5,"1 Review , 1 Follower",2019-05-25 14:20:00,2019,141,25,False,False,False,The Indi Grill,5,Steakhouse,"['great', 'specially', 'paneer']"
Barbeque Nation,Chanda,always good for non veg starters are too good than veg still overall its good always biryani will be same kasmiri flavoured hope next time i may get new flavoured biryani rest all staff and service were good,4,"106 Reviews , 763 Followers",2018-06-23 21:32:00,2018,207,38,False,False,False,Barbeque Nation,4,Indian,"['flavoured', 'good', 'veg']"
Marsala Food Company,Simanto Bagchi,customers wont really care about your ambience or service if your food quality is below par i ordered chicken dum biryani from here relying on their ratings but the very first experience itself was really bad the chicken tasted horrible and was stale i had to throw away the biryani you guys should check the food before delivering it to the customers as delivery of this kind of food does not only affect the ratings but also can cause serious health issues i value food which is worth the money spent and i feel betrayed here i contacted zomato regarding the issue and they just assured me that this wont happen again and conveyed that they have shared feedback with the restaurant they should have issued a proper refund here i did not expect this kind of service and i really dont look forward to trying anything from this place in future,1,"158 Reviews , 229 Followers",2019-03-16 15:15:00,2019,842,152,False,False,False,Marsala Food Company,1,Indian,"['ratings', 'wont', 'customers']"
Cream Stone,Samrat Samanta,twisted mango mango famous within summer season this summer you had mango or not guys you should taste this mango flavor i am sure mango lover will like this,4,"1 Review , 46 Followers",2019-05-01 23:08:00,2019,157,29,False,False,False,Cream Stone,4,General,"['mango', 'flavor', 'famous']"
The Indi Grill,Peddi Phanindra,starters were good main course was plain overall it is good subenu and sakil helped us throughout by constantly asking the feedback and how the taste can be improved,4,"2 Reviews , 28 Followers",2019-05-05 15:05:00,2019,165,29,False,False,False,The Indi Grill,4,Steakhouse,"['plain', 'helped', 'feedback']"
10 Downing Street,Dinesh Naidu,an uber cool place with an ambience which reminds you of any pub in london well isnt the name making it obvious been here couple of times place outside on terrace gets filled up faster than insidethey now have water sprays outside to keep you cool in summers this is a brewery but again not all beers in the menu are available most of the time although the home beer is good must try food is okay can be better overall 45 ambience 55 food 35 service 355,4,"20 Reviews , 10 Followers",2019-05-03 08:46:00,2019,453,88,False,False,False,10 Downing Street,4,Bar,"['outside', 'cool', 'terrace']"
Pakwaan Grand,Towheed Moneeb,food was good and the service was too slow we wait for 25 minutes but no one come on out table for the order oftet when we talk with manager he was also with full of attitude over all rating 2,2,"11 Reviews , 14 Followers",2019-04-23 21:25:00,2019,192,41,False,False,False,Pakwaan Grand,2,General,"['attitude', 'talk', 'minutes']"
Sardarji's Chaats & More,The Foodie Bookworm,i love the gol gappe here at hyderabad the gol gappe are different they add dal in it where as i am used to masala aloo filling and they provide it best in gachibowli,4,"108 Reviews , 242 Followers",2019-04-01 00:55:00,2019,166,34,False,False,False,Sardarji's Chaats & More,4,General,"['filling', 'aloo', 'provide']"
13 Dhaba,Sudeep Joshi,amazing taste ordered chole paneer dish and almost all the naans quantity is also good compared to the price lassi and milk thandai were not so good but the most important thing why i wouldnt rate it high is its self service policy the place is too small and even water isnt served not even tissue papers,3,"2 Reviews , 3 Followers",2018-08-26 20:45:00,2018,304,57,False,False,False,13 Dhaba,3,General,"['milk', 'chole', 'lassi']"
Domino's Pizza,Krishna Rao,its always good to have pizza,5,"2 Reviews , 4 Followers",2018-07-23 21:41:00,2018,29,6,False,False,False,Domino's Pizza,5,Italian,"['pizza', 'good', 'given']"
Hyderabad Chefs,Nalam Karthik,this place surprised me with its taste and quantity whenever i ordered from itgreat goingwould love to place more orders from hyderabad chefs,5,"4 Reviews , 1 Follower",2018-08-21 06:13:00,2018,141,23,False,False,False,Hyderabad Chefs,5,General,"['surprised', 'orders', 'hyderabad']"
Labonel,Anvesh Chowdary,this place stays in the best 5 bakeries in the city for chocolate cake for surehad ordered and picked up a 3 layer chocolate cake irrespective of pricing its tasting made everyone stun shock its truly a classic chocolate cake the only con is pricing but worth the money for the taste dont miss the chocolate cake,4,"1031 Reviews , 1654 Followers",2016-10-27 00:42:00,2016,312,57,False,False,False,Labonel,4,Dessert,"['cake', 'chocolate', 'pricing']"
Collage - Hyatt Hyderabad Gachibowli,Kunal Sanghvi,positive 1 great place for a team outing you get your space 2 nice facilities 3 buffet had a wide variety from north indian to asain to street food negatives 1 not much choice for vegetarians 2 too costly for its quality,3,"8 Reviews , 2 Followers",2017-07-16 23:46:00,2017,220,42,False,False,False,Collage - Hyatt Hyderabad Gachibowli,3,Indian,"['vegetarians', 'costly', 'street']"
Shanghai Chef 2,Rahul,i am frequent here like their noodles varieties almost tried every non veg noodles and rice items i like it if not love it i dont mind ambience here coz i love chinese but ambience is okay service is good price is affordable prawns dishes are very pleasing either with rice or noodles,4,"6 Reviews , 4 Followers",2018-08-21 07:41:00,2018,284,53,False,False,False,Shanghai Chef 2,4,Chinese,"['noodles', 'love', 'rice']"
13 Dhaba,Prachita Jayaswal,decent food with good quality dal makhani aaloo gobhi are good amongst the bread stuffed kulcha and lachcha paratha are nice its a pocket friendly place and the quantity served is good enough,4,"104 Reviews , 531 Followers",2018-09-07 15:31:00,2018,191,33,False,False,False,13 Dhaba,4,General,"['kulcha', 'stuffed', 'makhani']"
Karachi Cafe,Hrishikesh Mohile,back with review as i promised the kheema pav is amazing and a must try nice retro ambiance very well done the interiors has been very carefully done love the paint on walls and the props used didnt get much time to spend but would definitely love to spend more time at this place the crew is friendly too will write about food after my next visit,5,"22 Reviews , 62 Followers",2018-10-13 12:06:00,2018,347,67,False,False,False,Karachi Cafe,5,Cafe,"['spend', 'love', 'pav']"
KFC,Yoga,i have ordered from here using the zomato app the ordering was simple they responded very fast and i had the food delivered within 30 minutes of the order this was a happy experience the burgers were very good and the chicken legs still warm and succulent the rice with small chicken nuggets was also excellent though the quantity seems to be a little less,4,"62 Reviews , 1193 Followers",2019-04-07 16:18:00,2019,356,65,False,False,False,KFC,4,General,"['app', '30', 'warm']"
Khaan Saab,Neelam,food was superb and service by santosh was also awesome we could feel the royal taste of most of the dishes especially the biriyani and malia prawn,5,"1 Review , 1 Follower",2019-02-14 21:38:00,2019,147,27,False,False,False,Khaan Saab,5,General,"['royal', 'prawn', 'superb']"
Tandoori Food Works,Sai Harika,at first accepted the order but after waiting for 45mins they have declined the order least bothered to respond to the calls switched off the mobile i dont understand why do these restaurants provide their mobile number if they dont have intention to respond to customers in case of cancelling the order why should the restaurant accept the order first and y should they regret to decline the order that too after 45 mins,1,"1 Review , 11 Followers",2018-08-10 23:23:00,2018,421,74,False,False,False,Tandoori Food Works,1,Indian,"['order', 'dont', 'case']"
Flechazo,Shaayar Shaik,place was good for starters and mocktails shabir was handy in service pasta was to the top notch prawns were good deserts are love must try their mini gulab jamun,5,"1 Review , 84 Followers",2019-05-08 21:34:00,2019,162,30,False,False,False,Flechazo,5,Italian,"['jamun', 'gulab', 'deserts']"
eat.fit,Riki Das,hey guys i ordered chicken biryani from eat fit and i must say this wasnt a good experience at allthe only plus point can be given for good packaging but packaging doesnt count as we pay for good food the biryani didnt even taste like a biryani it was more like fried rice with chicken dumped had a very bad experience,1,5 Reviews,2019-04-21 12:31:00,2019,318,61,False,False,False,eat.fit,1,Indian,"['biryani', 'packaging', 'experience']"
KFC,Riz & Shanky,dont know what is going wrong with kfc as a brand they are doing it wrong in every aspect no proper management of customers on the counters the food they are serving is not upto the mark as it used to be i was a fan of kfc but slowly i am loosing interest in going i had a very bad experience the coke they served was very sweet without any soda in it i though i was having a sweet water the chicken was not served hot the quality of the rice they are providing is going down day by day management please look into this or else you will be loosing a lot of patrons its high time to think,1,"74 Reviews , 97 Followers",2019-03-27 09:21:00,2019,587,122,False,False,False,KFC,1,General,"['going', 'kfc', 'wrong']"
NorFest - The Dhaba,Ashima Saxena,i ordered lucknowi veg galouti kebab and paratha through zomato but the quality of the kebab needs some serious improvement and were very oily too,1,"17 Reviews , 3 Followers",2019-03-14 20:50:00,2019,146,25,False,False,False,NorFest - The Dhaba,1,General,"['kebab', 'improvement', 'oily']"
La La Land - Bar & Kitchen,Payel Biswas,this place is a play of light and shadow beautifully organized and carefully decorated with cushions and low height sitting areas we had lunch buffet and it was really nice welcome 1 goodlooking and thirstreleiving welcome drink with veg or nonveg soup starters 3 veg dishes veg tikki babycorn and hariyali paneer tikka 3 nonveg dishes fish plates chicken wings and chicken kebabs main course it had wide spread of 56 types of salads 2 types of papad veg biriyani bisimille bhaat bhindi fry mix veg paneer butter masala veg manchurian veg noodles curd rice chicken fried rice chicken biriyani mutton handi chicken shakahari and fish gravy desserts it had gulab jamun rasmalai firni 45 types of sweets 3 types of pastries ice cream and whole lot of fruits the experience was really nice and each and every dish came with awesome deliciousness,4,"42 Reviews , 68 Followers",2018-12-01 11:27:00,2018,841,143,False,False,False,La La Land - Bar & Kitchen,4,Chinese,"['types', 'veg', 'chicken']"
Kritunga Restaurant,Abhilash Reddy,ive been to other kritungas many times since 6 years and never was disappointed ragi sankati one of the benchmark dishes served by kritunga was bad and im hesitating to use the word worst pulavs werent good either keema pulao was below average and veg pulao wasnt properly cooked after receiving the order and started eating waiter says they ran out of soft drinks which we ordered if kritunga really consider reading these reviews i would like to quote a statement kritunga youre just selling your brand but not good food anymore,1,1 Review,2019-03-03 00:15:00,2019,530,92,False,False,False,Kritunga Restaurant,1,General,"['pulao', 'werent', 'keema']"
KS Bakers,Jaythebestofme J,our desi answer to the american mcdonalds and kfc value for money proposition and its got the desi zing to it be it there chicken burger or tandoori chicken leg everything is worth a try,4,"17 Reviews , 11 Followers",2017-07-06 07:26:00,2017,186,35,False,False,False,KS Bakers,4,Indian,"['kfc', 'american', 'chicken']"
eat.fit,Charushila Biswas,everybody is talking about eat fit these days i was curious to know whats causing so much buzz so i ordered chefs special veg thaliit contained 3 wheat flour rotis paneer ki sabzi daal makhni salad pickle and a healthy dessert i really liked the way the daal makhni tasted it was tough to believe that it did not contain butter paneer ki sabzi also tasted good the paneer was soft and the curry was flavorful 3 rotis were good enough to satiate my hunger but i would have loved it more if the salad was freshly cut the cucumber and tomato slices looked limp and had lost all its crunch also i think they can do without the 2 small sticks of carrot overall if you are trying to lose weight or get back in shape eat fit is a great choice you get calorie count proteincarbfat count you can keep a track on your calories and macros and design your workout daysrest days accordingly its great to see that people are so health conscious now eat fit has definitely stirred up a health revolution hope they keep inspiring us,4,"42 Reviews , 1384 Followers",2019-03-11 22:08:00,2019,1016,191,False,False,False,eat.fit,4,Indian,"['daal', 'ki', 'eat']"
Aromas@11SIX,Deepank Joshi,i did not like this place at all this restaurant do not match zomato gold standards first thing the price and ambience do not match at all this place looks like a shady dhaba from highway but prices for food compares to ohris restaurants even if we ignore prices taste and services are worst that i have encountered in any zomato gold restaurant this place do not deserve 4 rating totally disappointed deepank,1,"5 Reviews , 2 Followers",2019-04-17 12:59:00,2019,409,73,False,False,False,Aromas@11SIX,1,General,"['match', 'gold', 'prices']"
The Old Madras Baking Company,Navrati Kapoor,one of the nicer places in hyderabad whether it is for an evening cup of coffee or breakfast quality taste of beverages food is good best part is their bakes breads bagels other products a bit on the expensive side as compared to other similar coffee places should do something about the indoor seating arrangement,4,"4 Reviews , 12 Followers",2018-09-26 12:53:00,2018,314,55,False,False,False,The Old Madras Baking Company,4,Cafe,"['coffee', 'places', 'cup']"
AB's - Absolute Barbecues,Sreenivasa Reddy,nice food and nice service ambiance is also great we wonder how you people manage all good food with good service great job keep it up i liked all kind of non veg and veg crispy corns that is my favouritespecial thanks to ali and mantu thanks for your good service for us,5,"1 Review , 3 Followers",2019-05-19 15:58:00,2019,271,53,False,False,False,AB's - Absolute Barbecues,5,Steakhouse,"['thanks', 'veg', 'service']"
Shah Ghouse Hotel & Restaurant,Netti Netti,when you will order you will get other item surprising restaurantwheather you order chiken you will always get veg cheap cost item better to dont order food my suggestion because i ordered more then twice got less cost cheap unordered item save money,1,1 Review,2019-05-07 23:39:00,2019,250,43,False,False,False,Shah Ghouse Hotel & Restaurant,1,General,"['item', 'cheap', 'cost']"
Aromas@11SIX,Roshni Aftab,nice little place hard to locate though this is near to lanco hills in manikonda the food here is really good and the staff is very attentive the ambience is not so great but good for small family dining experience this place had gold and we had ordered one starter one biryani and one kulcha all tasted good and the bill was around 450 bucks can try it if you want someplace light on budget,4,"48 Reviews , 135 Followers",2018-09-21 21:16:00,2018,391,75,False,False,False,Aromas@11SIX,4,Indian,"['bucks', 'hills', 'attentive']"
Pista House,Prasun Paul,this place was recommended by people for some good haleem and thats the reason we paid this place a visit we ordered two dishes of haleem and two full plates and one regular plate of chicken biryani the haleem was very well prepared and had the aroma and taste it was delicious the servings of biryani was overwhelming and very filling the regular serving was more than one normal person could eat but the taste was average and nothing new the chicken was cooked well the ambience was good but a little too full theres no default seating for groups of more than four people and as we were a group of five we had to rearrange a few chairs the service was prompt but understandably very busy,4,"73 Reviews , 184 Followers",2019-05-22 23:31:00,2019,689,128,False,False,False,Pista House,4,Indian,"['haleem', 'regular', 'people']"
GD's,Purnima Singh,amazing burgers they haveyou eat it once and you feel like having it more and morei and my friends are delighted the barbeque grilled chicken burger is a must try,5,"4 Reviews , 32 Followers",2018-11-17 14:45:00,2018,162,30,False,False,False,GD's,5,Steakhouse,"['barbeque', 'burgers', 'grilled']"
The Old Madras Baking Company,Rohit Reddy,i was here at this place for lunch with my colleague this place is quite popular among people working at deloitte meenakshi gachibowli though it is small place we had a chicken makhani pizza the pizza was very good and it was made with thin crest the ambience was also good the bakery products in display also seemed to be fresh and delicious though couldnt taste them pricing wise it is a bit on the higher side i felt overall it was a good experience here at this place and i would rate this as food 45 ambience 455 service 45,4,"99 Reviews , 2972 Followers",2018-09-30 19:30:00,2018,528,101,False,False,False,The Old Madras Baking Company,4,Italian,"['45', 'pizza', 'place']"
Absolute Sizzlers,Ankit Anand,one of the best places for sizzlers in hyderabad a must visit if you are planning for a sizzling lunch or dinner they serve a variety of sizzlers here worth trying,4,"26 Reviews , 34 Followers",2019-03-09 23:43:00,2019,163,31,False,False,False,Absolute Sizzlers,4,General,"['sizzlers', 'trying', 'places']"
PourHouse7,Sneha Panda,pour house 7 is very easy to locate as it is around half a kilometre away from ikea it is on the fourth floor if the building ambience it gives you best of both worlds it has rooftop seatings and an air conditioned seating the ambience is very sassy it is surely a party place food mocktails i tried flavoured mojito virgin mojito ph7 special mojito pina colada and sweet sunrise all the mocktails were flavourful beautiful and refreshing my personal favourite was sweet sunrise starters and salad i tried kung pao chicken crispy corn stir fried vegetables veg spring salad and spicy black pin kung pao chicken the chicken was well cooked and most importantly it wasnt bland the spices were just right for a person like me who prefers spicy food the dish also included honey so it tasted slightly sweet which took the dish on another level definitely a must try spicy black pin it was kinda similar to kung pao chicken but was grilled and wasnt sweet it tasted nice crispy corn it was sweet and crispy presentation was on point stir fried vegetables the vegetables were cooked properly and the spices were complimenting the vegetables veg spring salad it was very tasty and healthy the coating of the salad was bringing the best taste of the veggies main course i tried chicken alfredo pasta sicilian pizza paneer tikka masala naan butter chicken and 7h biryani chicken alfredo pasta it was creamy and absolutely delicious the chicken was very well cooked loved it sicilian pizza it was loaded with veggies and the amount of cheese was okay im not a too much cheese person so it tasted good also you can ask the staff to put more cheese paneer tikka masala it was spicy and flavourful the paneer was soft and tender very well made butter chicken the chicken was tender and juicy the gravy was very rich loved it naan perfectly made 7h biryani it had lip smacking flavours the presentation was on a whole new level it was enclosed in omelette the chicken was flavourful and the basmati rice and tender and tasty highly recommended all in all 55 pour house 7 is definitely my go to place now,5,"38 Reviews , 94 Followers",2019-04-11 14:51:00,2019,2089,375,False,False,False,PourHouse7,5,Italian,"['chicken', 'vegetables', 'sweet']"
Deli 9 Bistro,Tejeswini Naidu,small but a lively place very good service i love the nachos here which are served with cream of mayo etc the main course dishes combinations are good and evethng here to worth trying,5,"22 Reviews , 42 Followers",2018-11-22 22:44:00,2018,183,34,False,False,False,Deli 9 Bistro,5,General,"['mayo', 'nachos', 'trying']"
Paradise,Bhagyasri Jaday,the taste of the food is good the varieties as well are many they can work on the ambience of the restaurant service was pretty fast overall if you are a fan of biryani you can visit it as many times as you can,5,"1 Review , 2 Followers",2019-05-15 17:51:00,2019,210,44,False,False,False,Paradise,5,Indian,"['fan', 'fast', 'varieties']"
Faasos,HappyHunger,since it was the festive season and i wanted to try navratri specials at faasos tried their singhada ke aloo parantha paneer makhanwala sabudhana ki kheer green tomato curry and curd it was not as expected did not taste quite well the parantha was a bit soggy and the curry was not up to the mark the kheer was not sweet enough not a big fan of their navratri box i was disappointed with the food though the food came in nice packaging very neatly packed but taste was not so neat need to improve a lot,3,"105 Reviews , 1161 Followers",2018-10-29 23:01:00,2018,502,97,False,False,False,Faasos,3,Indian,"['kheer', 'curry', 'ki']"
Faasos,Shyam Tiwari,mohsin was really helpful in handling the situation delivered food on time as promised i really wanted to thank you guys for rectifying my error resolved my issue in a professional way,5,6 Reviews,2019-05-10 12:16:00,2019,184,32,False,False,False,Faasos,5,General,"['professional', 'issue', 'really']"
Hotel Zara Hi-Fi,Sharukh,i didnt get any gravey item sherva how can we eat without gravey dont you have sense to send without sherva along without biryani,1,"3 Reviews , 1 Follower",2019-05-22 23:57:00,2019,129,24,False,False,False,Hotel Zara Hi-Fi,1,Indian,"['item', 'eat', 'didnt']"
La La Land - Bar & Kitchen,Chirag Gupta ?,the ambience is top notch the buffet is really good the deserts will melt you away a great place to go to if you are an explorer of good food the staff is friendly theres a projection screen too zomato gold is applicable here on drinks,5,"111 Reviews , 1013 Followers",2018-12-26 08:49:00,2018,235,46,False,False,False,La La Land - Bar & Kitchen,5,Bar,"['melt', 'theres', 'deserts']"
Dunkin' Donuts,Kbnsindhura,i have eaten at this place a couple of times before and the donuts were decent but today we picked a few donuts to take home and when we tasted them they felt so stale and tasteless as if they have been made at least 3 days ago this was definitely not expected from them,1,"4 Reviews , 3 Followers",2019-04-20 22:47:00,2019,270,55,False,False,False,Dunkin' Donuts,1,General,"['donuts', 'eaten', 'tasteless']"
Yum Yum Tree - The Arabian Food Court,Solmon Chris,food is delicious chicken bbq mandi mutton fry mandi and chicken burger are awesome good ambiance and service owner and staff are courteous,4,"2 Reviews , 4 Followers",2018-09-20 18:53:00,2018,139,23,False,False,False,Yum Yum Tree - The Arabian Food Court,4,General,"['mandi', 'owner', 'fry']"
Eat India Company,Ravindra Babu Gompa,enjoyed the lunch buffet had multiple varieties of starters tasted like awesome there are many variables in main course as well desserts are less in number but should be fine the final ice cream mix was just sumptuous,5,"2 Reviews , 11 Followers",2018-08-10 15:34:00,2018,217,38,False,False,False,Eat India Company,5,Dessert,"['mix', 'number', 'multiple']"
Hotel Zara Hi-Fi,Debdut Modak,really disappointed with the food qualitythe food makes me sickordered chilly chicken and schezewan chicken fried ricethe quality of the chicken is really badif they want to negotiate with the quality of the food then they can increase the price of the food please take care of the quality,1,"13 Reviews , 1 Follower",2018-12-10 21:33:00,2018,289,49,False,False,False,Hotel Zara Hi-Fi,1,General,"['quality', 'chicken', 'food']"
B-Dubs,K.shiva Patel,my all time favorite chicken wings thai curry and ultimate nachosservice is the best part they havesunny bro gave us a gud time been to jubille hills branch beforethis is the first visit to gachibowli branchservers are pretty friendly which everyone hopes,5,"1 Review , 1 Follower",2019-05-01 22:38:00,2019,255,42,False,False,False,B-Dubs,5,Indian,"['hills', 'branch', 'time']"
Karachi Cafe,Karthik Vempa,another place where i wanted to visit from long this is vintage brings back your childhood days only if you are a 90s or earlier born excellent place ambience and tasty food their rolls are yummy and keem pav is a must try dish,5,"62 Reviews , 94 Followers",2018-10-16 12:43:00,2018,227,44,False,False,False,Karachi Cafe,5,Cafe,"['pav', 'rolls', 'earlier']"
B-Dubs,Sahilfore9,nice place great service thanks praveen for the great service also many options to play games with 40 screens to watch the match great fun,5,1 Review,2019-05-04 00:18:00,2019,138,25,False,False,False,B-Dubs,5,General,"['great', 'play', '40']"
AB's - Absolute Barbecues,Veerendra Pichika,excellent service by bahamas and reheat quality of service is also excellent hospitality is marvelous and also the ambience deserts and choose your bird sections are great,5,"1 Review , 8 Followers",2019-05-17 16:01:00,2019,171,27,False,False,False,AB's - Absolute Barbecues,5,Steakhouse,"['excellent', 'deserts', 'choose']"
KS Bakers,Naveen Reddy,i have taken a pineapple marble cake here its really good in taste and design i recommended to everyone worth buying here good prices also,5,1 Review,2017-12-27 15:11:00,2017,138,25,False,False,False,KS Bakers,5,Dessert,"['taken', 'prices', 'recommended']"
Prism Club & Kitchen,Rmandava70,wow it is amazing the place is huge and ambiance is too good i guess one of the best party places in this part of hyderabad altaf is at his best he took us around and showed us a nice outdoor place karthik attended the table he is an amazing guy his service is impeccable he suggested mongolian chicken which is very fresh and tasty usually food at clubs doesnt really match the restaurant quality but this is too good will visit again sometime soon,5,"92 Reviews , 727 Followers",2019-02-13 19:38:00,2019,449,85,False,False,False,Prism Club & Kitchen,5,General,"['amazing', 'suggested', 'match']"
Amul,Ujj,i have ordered almost all the chocolate concept ice creams from the menu and needless to say i was never disappointedi have also tried fresh fruit concepts nutty concepts and the scoop ice creams toomy personal favourite from the list is death by chocolate and nuts overloaded sundae should definitely try thisthe home delivery experience and packaging is awesome,5,"35 Reviews , 9 Followers",2018-07-21 22:50:00,2018,363,59,False,False,False,Amul,5,Dessert,"['creams', 'chocolate', 'ice']"
Zega - Sheraton Hyderabad Hotel,Neelima Zakkula,nice place its in 10th floor love it have very less options for indian cuisine had tasty dimsums and chicken chilli as starters wish there was some live music on weekdays,4,5 Reviews,2018-04-26 20:17:00,2018,170,31,False,False,False,Zega - Sheraton Hyderabad Hotel,4,Indian,"['wish', 'cuisine', 'chilli']"
The Fisherman's Wharf,Riyaz Ahmed,this place is good for your friend and famlilythey have good variety of appetiser their service is very freindly i have visit twise in this hotel and also seafood verity is superb the dj was also great my over all experience was very nice thakk you,4,"17 Reviews , 1 Follower",2019-03-31 23:26:00,2019,248,46,False,False,False,The Fisherman's Wharf,4,Seafood,"['hotel', 'superb', 'friend']"
Shanghai Chef 2,Ankit Jain,nothing could be better than having restaurant owner recieving you at entrance and assuring you of best service the restuarant is located on first floor having sufficiently spacious area with decent interiors appropriately giving a glimpse of typical chinese restaurant not to mention the love of colour red and yellow which found prominence here too i hereby got convinced to rate ambience and decor 45 the crew was humble and the owner seemed delighted to have us after exchanging a few words he suggested us the best and quick food we could grab owner and staff courtesy 55 we first ordered talumein soup355moderately spicy and filled with veggies which is certainly a healthy start we ordered mee gorang noodles 355 comprised of lots of green and red chillies a perfect form of noodles to relish recommended to those who are tired of shewzwan noodles noodles accompanied with 8 hot pot garlic gravy35 which went with noodles so well except the excessive quantity of french beans that hindered the potential of dish,3,"138 Reviews , 821 Followers",2018-08-04 16:01:00,2018,1018,171,False,False,False,Shanghai Chef 2,3,Chinese,"['noodles', 'owner', 'red']"
